# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_ht_m_mc.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
95000,0.598596,0.620000,0.267995,0.236389,0.491418,0.508615,105.893056,38.795232,144.688288,741.101562
96000,0.598926,0.595000,0.267895,0.224301,0.491686,0.468539,106.936327,38.881616,145.817942,741.132812
97000,0.599479,0.640000,0.267836,0.282662,0.492275,0.540494,107.917653,38.969052,146.886705,741.132812
98000,0.599701,0.595000,0.267734,0.238194,0.492484,0.474589,108.980066,39.053166,148.033233,741.132812
99000,0.600112,0.620000,0.267603,0.230125,0.492886,0.512086,109.998673,39.133854,149.132526,741.164062
100000,0.600667,0.660000,0.267517,0.247596,0.493445,0.547662,110.992782,39.221935,150.214718,741.164062
101000,0.601240,0.715000,0.267477,0.250380,0.494046,0.618946,111.965307,39.307078,151.272385,741.164062
102000,0.601772,0.660000,0.267496,0.233943,0.494591,0.553161,112.972665,39.393036,152.365701,741.164062
103000,0.602255,0.655000,0.267392,0.237252,0.495056,0.549182,113.973786,39.474629,153.448415,741.164062
104000,0.602262,0.590000,0.267188,0.231233,0.495017,0.484601,115.046970,39.559336,154.606306,741.164062
105000,0.602856,0.645000,0.267161,0.232484,0.495641,0.537836,115.996588,39.643534,155.640122,741.164062
106000,0.603324,0.670000,0.267062,0.240583,0.496109,0.563636,116.964461,39.728562,156.693023,741.195312
107000,0.603368,0.560000,0.266855,0.218772,0.496111,0.448068,118.005500,39.813970,157.819470,741.257812
108000,0.603897,0.675000,0.266779,0.236810,0.496674,0.570957,119.040363,39.908819,158.949183,741.257812
109000,0.604130,0.610000,0.266643,0.227784,0.496905,0.497827,119.948926,39.995458,159.944385,825.000000
110000,0.604422,0.590000,0.267744,0.293420,0.497383,0.502774,120.907718,40.482899,161.390617,857.375000
111000,0.604845,0.620000,0.267649,0.249456,0.497848,0.509756,121.835319,40.582198,162.417518,861.718750
112000,0.605108,0.690000,0.267548,0.271762,0.498141,0.594334,122.777476,40.686974,163.464450,870.437500
113000,0.605768,0.675000,0.267583,0.247205,0.498873,0.584492,123.748240,40.786398,164.534638,870.500000
114000,0.606336,0.650000,0.267532,0.240489,0.499478,0.542573,124.706292,40.888725,165.595017,870.593750
115000,0.606781,0.730000,0.267488,0.251389,0.499938,0.636718,125.656954,40.988978,166.645932,874.250000
116000,0.607096,0.595000,0.267424,0.231208,0.500271,0.485093,126.614660,41.089807,167.704467,882.492188
117000,0.607466,0.665000,0.267428,0.244290,0.500639,0.557376,127.609242,41.173240,168.782482,912.179688
118000,0.607872,0.690000,0.267358,0.242271,0.501039,0.581675,128.382219,41.255753,169.637973,1042.453125
119000,0.608695,0.665000,0.267860,0.285403,0.501965,0.565401,129.173530,41.464852,170.638382,1168.757812
120000,0.609496,0.700000,0.268151,0.289433,0.502877,0.614730,129.975278,41.600702,171.575979,1225.789062
121000,0.610017,0.650000,0.268236,0.242916,0.503451,0.546691,130.881745,41.753751,172.635496,1278.007812
122000,0.611000,0.740000,0.269045,0.320868,0.504657,0.664321,131.728966,41.844111,173.573077,1283.039062
123000,0.611738,0.700000,0.269722,0.297423,0.505565,0.615249,132.597516,41.936494,174.534009,1287.132812
124000,0.612610,0.705000,0.270371,0.296548,0.506616,0.610304,133.514874,42.032046,175.546921,1294.851562
125000,0.613444,0.650000,0.271023,0.278956,0.507622,0.551928,134.350283,42.123294,176.473578,1298.757812
126000,0.614104,0.710000,0.271528,0.300024,0.508428,0.628705,135.289375,42.220204,177.509579,1299.445312
127000,0.614810,0.695000,0.272069,0.305110,0.509279,0.609187,136.164930,42.309807,178.474736,1299.882812
128000,0.615465,0.660000,0.272557,0.287227,0.510097,0.568240,137.070248,42.394443,179.464691,1308.507812
129000,0.616234,0.670000,0.273120,0.292542,0.511007,0.578046,137.972467,42.481932,180.454399,1312.601562
130000,0.616891,0.710000,0.273736,0.322591,0.511857,0.627811,138.951838,42.570877,181.522715,1321.476562
131000,0.617700,0.740000,0.274344,0.314685,0.512845,0.664916,139.892434,42.656554,182.548988,1325.351562
132000,0.618237,0.735000,0.274684,0.293459,0.513510,0.651086,140.816821,42.742152,183.558973,1325.945312
133000,0.618917,0.705000,0.275185,0.314694,0.514340,0.619845,141.706043,42.827378,184.533422,1325.976562
134000,0.619624,0.765000,0.275854,0.392682,0.515243,0.697710,142.656016,42.914928,185.570945,1326.070312
135000,0.620493,0.705000,0.276458,0.305864,0.516273,0.613394,143.562432,43.005013,186.567445,1338.945312
136000,0.621111,0.690000,0.276974,0.300813,0.517036,0.603289,144.534145,43.089670,187.623815,1338.945312
137000,0.621728,0.695000,0.277287,0.287646,0.517773,0.609187,145.473946,43.176536,188.650481,1347.351562
138000,0.622474,0.740000,0.277871,0.306061,0.518694,0.655207,146.452543,43.263135,189.715678,1347.351562
139000,0.623036,0.735000,0.278158,0.292015,0.519380,0.653380,147.379663,43.345902,190.725565,1347.445312
140000,0.623525,0.675000,0.278527,0.294501,0.520005,0.587694,148.314683,43.432267,191.746950,1360.257812
141000,0.624043,0.735000,0.279063,0.310245,0.520698,0.658053,149.262704,43.521331,192.784035,1360.351562
142000,0.624730,0.745000,0.279376,0.313879,0.521499,0.666656,150.214607,43.605002,193.819609,1360.382812
143000,0.625204,0.700000,0.279692,0.313158,0.522087,0.615372,151.126135,43.697950,194.824085,1360.382812
144000,0.625734,0.695000,0.280079,0.287238,0.522742,0.607629,152.089572,43.783765,195.873337,1361.070312
145000,0.626375,0.715000,0.280409,0.299146,0.523512,0.630482,153.033372,43.868214,196.901586,1313.585938
146000,0.626876,0.650000,0.280755,0.291092,0.524133,0.551440,153.744999,43.971243,197.716242,1334.437500
147000,0.627425,0.670000,0.281031,0.283137,0.524807,0.578584,154.547748,44.078309,198.626057,1364.929688
148000,0.627857,0.680000,0.281645,0.314935,0.525395,0.592707,155.268363,44.197456,199.465819,1411.460938
149000,0.628730,0.745000,0.282319,0.311710,0.526477,0.669132,155.983799,44.357505,200.341304,1412.367188
150000,0.629349,0.730000,0.282898,0.325296,0.527281,0.650881,156.747844,44.513535,201.261380,1420.898438
151000,0.629807,0.700000,0.283314,0.289245,0.527871,0.615459,157.490878,44.654123,202.145001,1429.523438
152000,0.630318,0.700000,0.283965,0.343496,0.528536,0.622808,158.232573,44.757723,202.990296,1464.898438
153000,0.630836,0.700000,0.284586,0.350318,0.529206,0.619446,159.041281,44.875090,203.916371,1481.148438
154000,0.631346,0.750000,0.285308,0.439509,0.529870,0.678353,159.827607,44.982125,204.809731,1490.429688
155000,0.631987,0.750000,0.286010,0.340269,0.530685,0.672764,160.584254,45.097677,205.681931,1490.492188
156000,0.632510,0.660000,0.286689,0.319822,0.531351,0.570517,161.319186,45.262885,206.582070,1490.710938
157000,0.633135,0.730000,0.287259,0.361432,0.532148,0.660132,162.106446,45.424902,207.531348,1490.960938
158000,0.633637,0.680000,0.288092,0.339982,0.532799,0.597269,162.873652,45.576300,208.449952,1491.085938
159000,0.634418,0.740000,0.288976,0.364615,0.533733,0.667104,163.640814,45.730536,209.371350,1491.210938
160000,0.635126,0.760000,0.289786,0.400741,0.534630,0.692308,164.378029,45.896806,210.274836,1491.242188
161000,0.635644,0.725000,0.290356,0.353280,0.535303,0.650072,165.172445,46.057602,211.230047,1518.023438
162000,0.635950,0.700000,0.290888,0.357566,0.535747,0.621284,165.912479,46.211407,212.123887,1535.054688
163000,0.636383,0.680000,0.291355,0.336652,0.536306,0.597750,166.711632,46.377694,213.089326,1535.085938
164000,0.636988,0.765000,0.292020,0.365851,0.537078,0.692459,167.457529,46.541508,213.999037,1543.460938
165000,0.637591,0.745000,0.292702,0.378207,0.537839,0.674288,168.243980,46.718671,214.962651,1546.992188
166000,0.637921,0.660000,0.293178,0.358636,0.538279,0.579325,168.983223,46.886904,215.870127,1551.117188
167000,0.638464,0.775000,0.293828,0.419607,0.538992,0.707783,169.782473,47.061802,216.844274,1551.148438
168000,0.639006,0.685000,0.294606,0.318490,0.539679,0.599784,170.510752,47.231212,217.741964,1551.179688
169000,0.639577,0.760000,0.295171,0.336210,0.540388,0.683440,171.325970,47.404337,218.730307,1551.242188
170000,0.640089,0.680000,0.295692,0.359958,0.541019,0.595589,172.109643,47.577620,219.687263,1559.617188
