# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] LeveragingBaggingClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=4.0)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_leverage_m.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
60000,0.934627,0.945000,0.953044,0.961131,0.845630,0.867118,993.608157,71.464817,1065.072974,34497.729492
61000,0.934683,0.945000,0.953057,0.960000,0.845873,0.872034,1009.670660,72.809440,1082.480100,34760.291992
62000,0.934738,0.965000,0.953090,0.975439,0.846025,0.914592,1025.972633,74.140199,1100.112831,35173.202148
63000,0.934774,0.950000,0.953088,0.961538,0.846229,0.890158,1041.899547,75.539027,1117.438574,35624.557617
64000,0.934873,0.955000,0.953131,0.964427,0.846577,0.903205,1057.660005,76.879341,1134.539346,36010.811523
65000,0.934984,0.960000,0.953209,0.971631,0.846843,0.903846,1073.567708,78.196195,1151.763903,36243.151367
66000,0.935231,0.975000,0.953362,0.980843,0.847520,0.944885,1090.113892,79.517908,1169.631800,36584.549805
67000,0.935409,0.930000,0.953487,0.946970,0.847954,0.844098,1106.326384,80.858897,1187.185281,37156.502930
68000,0.935463,0.930000,0.953511,0.943548,0.848135,0.851459,1122.165002,82.185834,1204.350837,37591.260742
69000,0.935750,0.955000,0.953708,0.969492,0.848849,0.883871,1138.060065,83.512048,1221.572113,38265.881836
70000,0.935841,0.935000,0.953771,0.955932,0.849066,0.832128,1155.003497,84.954292,1239.957789,38415.026367
71000,0.935757,0.915000,0.953687,0.942373,0.848967,0.780815,1170.913375,86.508041,1257.421416,38934.764648
72000,0.935986,0.955000,0.953849,0.966790,0.849517,0.897025,1186.841524,87.842424,1274.683948,39355.084961
73000,0.935792,0.920000,0.953686,0.942857,0.849151,0.809524,1202.992459,89.188892,1292.181351,40084.850586
74000,0.935959,0.925000,0.953780,0.943820,0.849651,0.831157,1219.094483,90.608790,1309.703273,40423.999023
75000,0.935824,0.905000,0.953677,0.924901,0.849358,0.795699,1234.847748,92.041877,1326.889624,41254.561523
76000,0.935760,0.945000,0.953630,0.960000,0.849207,0.872034,1250.741252,93.441858,1344.183110,41933.233398
77000,0.935829,0.920000,0.953656,0.941606,0.849464,0.814708,1266.961594,94.831445,1361.793039,42314.881836
78000,0.935909,0.945000,0.953707,0.959108,0.849680,0.875312,1282.878636,96.196459,1379.075095,42978.709961
79000,0.935808,0.925000,0.953621,0.939759,0.849492,0.840459,1298.883468,97.561634,1396.445101,43721.940430
80000,0.935696,0.910000,0.953528,0.925620,0.849279,0.811775,1314.873847,99.008359,1413.882206,44422.651367
81000,0.935775,0.950000,0.953573,0.966443,0.849513,0.868421,1330.704267,100.416160,1431.120427,44971.100586
82000,0.935765,0.960000,0.953553,0.970370,0.849544,0.908873,1346.684395,101.811514,1448.495909,45503.209961
83000,0.935829,0.925000,0.953592,0.945848,0.849718,0.823902,1363.340398,103.361654,1466.702052,45666.331055
84000,0.935904,0.940000,0.953634,0.958333,0.849937,0.851264,1379.533598,104.805641,1484.339239,46200.241211
85000,0.936012,0.930000,0.953702,0.947761,0.850232,0.841772,1395.533343,106.287805,1501.821148,46631.979492
86000,0.936224,0.945000,0.953846,0.962712,0.850761,0.858174,1411.573972,107.724313,1519.298286,47000.206055
87000,0.936140,0.940000,0.953780,0.956835,0.850588,0.858541,1428.146769,109.415877,1537.562645,47252.760742
88000,0.936241,0.960000,0.953829,0.968750,0.850921,0.913232,1444.103281,110.888731,1554.992012,47483.456055
89000,0.936352,0.965000,0.953910,0.974545,0.851178,0.918548,1460.057298,112.306154,1572.363452,47925.108398
90000,0.936393,0.935000,0.953930,0.952030,0.851310,0.851259,1476.122246,113.670688,1589.792934,48110.573242
91000,0.936422,0.920000,0.953949,0.941606,0.851385,0.814643,1491.941090,115.090377,1607.031467,48469.178711
92000,0.936484,0.945000,0.954001,0.960854,0.851500,0.868421,1507.588696,116.482573,1624.071269,48673.463867
93000,0.936620,0.910000,0.954114,0.933824,0.851757,0.793222,1523.551132,117.874091,1641.425223,49132.362305
94000,0.936839,0.960000,0.954267,0.971831,0.852294,0.902913,1539.360602,119.294917,1658.655518,49350.354492
95000,0.936851,0.970000,0.954277,0.978723,0.852318,0.927885,1555.524763,120.735691,1676.260454,49885.155273
96000,0.936958,0.950000,0.954351,0.964286,0.852578,0.880952,1571.426698,122.126577,1693.553276,50287.155273
97000,0.937073,0.935000,0.954440,0.950570,0.852825,0.855780,1587.197758,123.523129,1710.720887,50611.936523
98000,0.937186,0.970000,0.954526,0.978723,0.853067,0.927876,1603.013221,124.891741,1727.904962,51153.069336
99000,0.937194,0.965000,0.954559,0.976109,0.852982,0.910692,1619.525935,126.266256,1745.792191,51509.475586
100000,0.937253,0.940000,0.954587,0.954198,0.853176,0.867301,1635.335725,127.675828,1763.011553,51916.733398
101000,0.937370,0.975000,0.954668,0.980080,0.853467,0.946558,1651.115610,129.045977,1780.161586,52295.323242
